Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Saved,9.0,0,3,5,USA,2.0,KRAUS J,5 - 0,207,USA,3:27
20 sec. exclusion in field,5.0,0,3,5,USA,2.0,CLARK C,5 - 0,186,USA,3:06
Extra player shot - Goal,10.0,1,3,5,USA,2.0,WINSTANLEY-SMITH A,5 - 1,178,GBR,2:58
Action shot - Saved,4.0,1,3,5,USA,2.0,GIBSON-BYRNE C,5 - 1,123,GBR,2:03
Turnover foul,2.0,1,3,5,USA,2.0,SILVER L,5 - 1,103,USA,1:43
Steal,11.0,1,3,5,USA,2.0,CLAYTON F,5 - 1,103,GBR,1:43
Action shot - Goal,4.0,2,3,5,USA,2.0,GIBSON-BYRNE C,5 - 2,76,GBR,1:16
Action shot - Goal,3.0,2,3,6,USA,2.0,SEIDEMANN M,6 - 2,55,USA,0:55
Action shot - Saved,3.0,2,3,6,USA,2.0,McCANN F,6 - 2,28,GBR,0:28
Action shot - Blocked,7.0,2,3,6,USA,2.0,MATHEWSON C,6 - 2,4,USA,0:04
5m shot - Saved,11.0,2,3,6,USA,2.0,CLAYTON F,6 - 2,1,GBR,0:01
Starting goalkeeper,13.0,2,3,6,USA,3.0,SMITH J,6 - 2,480,GBR,8:00
Starting goalkeeper,13.0,2,3,6,USA,3.0,ANAE T,6 - 2,480,USA,8:00
Sprint won possession,2.0,2,3,6,USA,3.0,WILCOX C,6 - 2,480,GBR,8:00
Turnover foul,2.0,2,3,6,USA,3.0,WILCOX C,6 - 2,469,GBR,7:49
Steal,12.0,2,3,6,USA,3.0,CRAIG K,6 - 2,469,USA,7:49
Turnover foul,12.0,2,3,6,USA,3.0,CRAIG K,6 - 2,448,USA,7:28
5m shot - Blocked,3.0,2,3,6,USA,3.0,McCANN F,6 - 2,420,GBR,7:00
Penalty foul,3.0,2,3,6,USA,3.0,McCANN F,6 - 2,399,GBR,6:39
Penalty shot - Goal,6.0,2,3,7,USA,3.0,STEFFENS M,7 - 2,399,USA,6:39
5m shot - Saved,4.0,2,3,7,USA,3.0,GIBSON-BYRNE C,7 - 2,380,GBR,6:20
Action shot - Goal,6.0,2,3,8,USA,3.0,STEFFENS M,8 - 2,353,USA,5:53
5m shot - Saved,4.0,2,3,8,USA,3.0,GIBSON-BYRNE C,8 - 2,326,GBR,5:26
Action shot - Goal,4.0,2,3,9,USA,3.0,FATTAL R,9 - 2,308,USA,5:08
Time-Out,,2,3,9,USA,3.0,,9 - 2,308,GBR,5:08
Action shot - Post,4.0,2,3,9,USA,3.0,GIBSON-BYRNE C,9 - 2,280,GBR,4:40
Turnover foul,12.0,2,3,9,USA,3.0,CRAIG K,9 - 2,256,USA,4:16
Turnover foul,10.0,2,3,9,USA,3.0,WINSTANLEY-SMITH A,9 - 2,233,GBR,3:53
Steal,5.0,2,3,9,USA,3.0,CLARK C,9 - 2,233,USA,3:53
20 sec. exclusion in field,8.0,2,3,9,USA,3.0,MUSGROVE H,9 - 2,221,GBR,3:41
Time-Out,,2,3,9,USA,3.0,,9 - 2,221,USA,3:41
Turnover foul,12.0,2,3,9,USA,3.0,CRAIG K,9 - 2,202,USA,3:22
Action shot - Saved,4.0,2,3,9,USA,3.0,GIBSON-BYRNE C,9 - 2,180,GBR,3:00
Turnover foul,12.0,2,3,9,USA,3.0,CRAIG K,9 - 2,162,USA,2:42
Penalty foul,10.0,2,3,9,USA,3.0,RULON K,9 - 2,143,USA,2:23
Penalty shot - Goal,4.0,3,3,9,USA,3.0,GIBSON-BYRNE C,9 - 3,143,GBR,2:23
Turnover foul,12.0,3,3,9,USA,3.0,CRAIG K,9 - 3,116,USA,1:56
Turnover foul,4.0,3,3,9,USA,3.0,GIBSON-BYRNE C,9 - 3,87,GBR,1:27
Steal,13.0,3,3,9,USA,3.0,ANAE T,9 - 3,87,USA,1:27
Action shot - Blocked,3.0,3,3,9,USA,3.0,SEIDEMANN M,9 - 3,73,USA,1:13
Turnover foul,7.0,3,3,9,USA,3.0,GIBSON L,9 - 3,58,GBR,0:58
Turnover foul,4.0,3,3,9,USA,3.0,FATTAL R,9 - 3,34,USA,0:34
Steal,3.0,3,3,9,USA,3.0,McCANN F,9 - 3,34,GBR,0:34
Turnover foul,8.0,3,3,9,USA,3.0,MUSGROVE H,9 - 3,6,GBR,0:06
Steal,8.0,3,3,9,USA,3.0,NEUSHUL K,9 - 3,6,USA,0:06
5m shot - Missed,3.0,3,3,9,USA,3.0,SEIDEMANN M,9 - 3,1,USA,0:01
Starting goalkeeper,13.0,3,3,9,USA,4.0,SMITH J,9 - 3,480,GBR,8:00
Starting goalkeeper,13.0,3,3,9,USA,4.0,ANAE T,9 - 3,480,USA,8:00
Sprint won possession,2.0,3,3,9,USA,4.0,WILCOX C,9 - 3,480,GBR,8:00
Action shot - Saved,4.0,3,3,9,USA,4.0,GIBSON-BYRNE C,9 - 3,452,GBR,7:32
Turnover foul,11.0,3,3,9,USA,4.0,DRIES A,9 - 3,433,USA,7:13
Centre shot - Missed,3.0,3,3,9,USA,4.0,McCANN F,9 - 3,418,GBR,6:58
Penalty foul,4.0,3,3,9,USA,4.0,GIBSON-BYRNE C,9 - 3,407,GBR,6:47
Penalty shot - Goal,7.0,3,3,10,USA,4.0,MATHEWSON C,10 - 3,407,USA,6:47
Turnover foul,7.0,3,3,10,USA,4.0,GIBSON L,10 - 3,386,GBR,6:26
Steal,9.0,3,3,10,USA,4.0,KRAUS J,10 - 3,386,USA,6:26
20 sec. exclusion in centre,8.0,3,3,10,USA,4.0,MUSGROVE H,10 - 3,367,GBR,6:07
Extra player shot - Goal,10.0,3,3,11,USA,4.0,RULON K,11 - 3,349,USA,5:49
20 sec. exclusion in centre,9.0,3,3,11,USA,4.0,KRAUS J,11 - 3,335,USA,5:35
Extra player shot - Saved,6.0,3,3,11,USA,4.0,NIXON C,11 - 3,325,GBR,5:25
Action shot - Goal,9.0,3,3,12,USA,4.0,KRAUS J,12 - 3,296,USA,4:56
5m shot - Blocked,6.0,3,3,12,USA,4.0,NIXON C,12 - 3,279,GBR,4:39
