Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
2.0,0:01,5m shot - Missed,4 - 7,BRA,GUIMARAES G,11.0,4,7,1,5,JPN
3.0,8:00,Starting goalkeeper,4 - 7,BRA,SORO S,1.0,4,7,480,5,JPN
3.0,8:00,Starting goalkeeper,4 - 7,JPN,TANAMURA K,1.0,4,7,480,5,JPN
3.0,8:00,Sprint won possession,4 - 7,JPN,ADACHI S,2.0,4,7,480,5,JPN
3.0,7:35,5m shot - Missed,4 - 7,JPN,SHIGA M,4.0,4,7,455,5,JPN
3.0,7:06,Turnover foul,4 - 7,BRA,STELLET P,7.0,4,7,426,5,JPN
3.0,7:06,Steal,4 - 7,JPN,OKAWA K,11.0,4,7,426,5,JPN
3.0,6:58,5m shot - Saved,4 - 7,JPN,OKAWA K,11.0,4,7,418,5,JPN
3.0,6:25,5m shot - Missed,4 - 7,JPN,SHIGA M,4.0,4,7,385,5,JPN
3.0,6:25,20 sec. exclusion in field,4 - 7,JPN,YOSHIDA T,5.0,4,7,385,5,JPN
3.0,6:20,Extra player shot - Goal,5 - 7,BRA,FREITAS R,12.0,5,7,380,5,JPN
3.0,5:53,5m shot - Saved,5 - 7,JPN,OKAWA K,11.0,5,7,353,5,JPN
3.0,5:08,Action shot - Missed,5 - 7,JPN,ARAKI K,12.0,5,7,308,5,JPN
3.0,4:44,Turnover foul,5 - 7,BRA,FREITAS R,12.0,5,7,284,5,JPN
3.0,4:26,5m shot - Saved,5 - 7,JPN,ADACHI S,2.0,5,7,266,5,JPN
3.0,4:16,Turnover foul,5 - 7,BRA,COUTINHO G,4.0,5,7,256,5,JPN
3.0,4:16,Steal,5 - 7,JPN,SHIGA M,4.0,5,7,256,5,JPN
3.0,4:16,20 sec. exclusion in field,5 - 7,BRA,GUIMARAES G,11.0,5,7,256,5,JPN
3.0,4:13,20 sec. exclusion in field,5 - 7,BRA,STELLET M,8.0,5,7,253,5,JPN
3.0,3:50,Action shot - Saved,5 - 7,JPN,ADACHI S,2.0,5,7,230,5,JPN
3.0,3:43,Action shot - Saved,5 - 7,JPN,TAKATA M,8.0,5,7,223,5,JPN
3.0,3:11,5m shot - Saved,5 - 7,BRA,COUTINHO G,4.0,5,7,191,5,JPN
3.0,3:00,20 sec. exclusion in centre,5 - 7,JPN,OKAWA K,11.0,5,7,180,5,JPN
3.0,2:35,Action shot - Blocked,5 - 7,BRA,FREITAS R,12.0,5,7,155,5,JPN
