Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,10.0,1,0,1,CAN,1.0,ROBINSON C,1 - 0,450,CAN,7:30,Goal,1
Penalty shot,5.0,1,0,2,CAN,1.0,EGGENS M,2 - 0,409,CAN,6:49,Goal,1
Centre shot,3.0,1,0,2,CAN,1.0,MONTON K,2 - 0,367,CAN,6:07,Missed,0
Action shot,9.0,1,0,2,CAN,1.0,STONEMAN E,2 - 0,344,NZL,5:44,Saved,0
Extra player shot,11.0,1,0,3,CAN,1.0,VALIN S,3 - 0,312,CAN,5:12,Goal,1
Action shot,4.0,1,0,3,CAN,1.0,LEWIS D,3 - 0,283,NZL,4:43,Saved,0
5m shot,12.0,1,0,3,CAN,1.0,MYLES J,3 - 0,238,NZL,3:58,Missed,0
Action shot,7.0,1,0,3,CAN,1.0,BEKHAZI J,3 - 0,206,CAN,3:26,Post,0
5m shot,6.0,1,0,3,CAN,1.0,LANDRY S,3 - 0,182,NZL,3:02,Saved,0
Action shot,4.0,1,0,3,CAN,1.0,WRIGHT E,3 - 0,155,CAN,2:35,Saved,0
Action shot,4.0,1,0,3,CAN,1.0,LEWIS D,3 - 0,137,NZL,2:17,Post,0
Extra player shot,11.0,1,1,3,CAN,1.0,HUDSON K,3 - 1,78,NZL,1:18,Goal,1
Action shot,8.0,1,1,4,CAN,1.0,FOURNIER S,4 - 1,57,CAN,0:57,Goal,1
5m shot,9.0,1,1,4,CAN,1.0,STONEMAN E,4 - 1,33,NZL,0:33,Blocked,0
Centre shot,9.0,1,1,5,CAN,1.0,EGGENS C,5 - 1,16,CAN,0:16,Goal,1
5m shot,,1,1,5,CAN,1.0,,5 - 1,1,4,0:01,Blocked,0
5m shot,11.0,1,1,5,CAN,2.0,HUDSON K,5 - 1,451,NZL,7:31,Saved,0
5m shot,10.0,1,1,6,CAN,2.0,ROBINSON C,6 - 1,436,CAN,7:16,Goal,1
