Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,3,0,3,KAZ,2.0,MILLAR B,3 - 0,480,NZL,8:00
Sprint won possession,3.0,3,0,3,KAZ,2.0,AKILBAYEVA A,3 - 0,480,KAZ,8:00
Turnover foul,12.0,3,0,3,KAZ,2.0,MUSSAROVA A,3 - 0,449,KAZ,7:29
20 sec. exclusion in centre,12.0,3,0,3,KAZ,2.0,MUSSAROVA A,3 - 0,441,KAZ,7:21
Extra player shot - Post,6.0,3,0,3,KAZ,2.0,LANDRY S,3 - 0,422,NZL,7:02
20 sec. exclusion in centre,6.0,3,0,3,KAZ,2.0,LANDRY S,3 - 0,404,NZL,6:44
Extra player shot - Goal,3.0,3,0,4,KAZ,2.0,AKILBAYEVA A,4 - 0,389,KAZ,6:29
Turnover foul,8.0,3,0,4,KAZ,2.0,LOPES DA SILVA C,4 - 0,366,NZL,6:06
Steal,4.0,3,0,4,KAZ,2.0,TUROVA A,4 - 0,366,KAZ,6:06
Action shot - Goal,3.0,3,0,5,KAZ,2.0,AKILBAYEVA A,5 - 0,348,KAZ,5:48
5m shot - Saved,12.0,3,0,5,KAZ,2.0,MYLES J,5 - 0,335,NZL,5:35
Turnover foul,2.0,3,0,5,KAZ,2.0,LEWIS N,5 - 0,323,NZL,5:23
Steal,2.0,3,0,5,KAZ,2.0,YEGEMBERDIYEVA A,5 - 0,323,KAZ,5:23
20 sec. exclusion in centre,12.0,3,0,5,KAZ,2.0,MYLES J,5 - 0,305,NZL,5:05
