Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,13,9.0,3,5,BRA,4.0,DIAS M,5 - 13,305,BRA,5:05
5m shot - Post,13,9.0,3,5,BRA,4.0,DIAS M,5 - 13,290,BRA,4:50
Turnover foul,13,3.0,3,5,BRA,4.0,ZABLITH M,5 - 13,280,BRA,4:40
Counter attack - Goal,14,6.0,3,5,BRA,4.0,CHRISTMAS K,5 - 14,276,CAN,4:36
5m shot - Missed,14,2.0,3,5,BRA,4.0,ABLA D,5 - 14,252,BRA,4:12
5m shot - Saved,14,3.0,3,5,BRA,4.0,CREVIER A,5 - 14,232,CAN,3:52
5m shot - Saved,14,10.0,3,5,BRA,4.0,BAHIA V,5 - 14,206,BRA,3:26
5m shot - Blocked,14,2.0,3,5,BRA,4.0,ABLA D,5 - 14,184,BRA,3:04
Action shot - Goal,15,8.0,3,5,BRA,4.0,LEMAY-LAVOIE E,5 - 15,154,CAN,2:34
Action shot - Missed,15,3.0,3,5,BRA,4.0,CREVIER A,5 - 15,105,CAN,1:45
Turnover foul,15,5.0,3,5,BRA,4.0,AMARAL A,5 - 15,89,BRA,1:29
Steal,15,4.0,3,5,BRA,4.0,WRIGHT E,5 - 15,48,CAN,0:48
Counter attack - Goal,16,8.0,3,5,BRA,4.0,LEMAY-LAVOIE E,5 - 16,32,CAN,0:32
Action shot - Goal,16,7.0,3,6,BRA,4.0,FERREIRA S,6 - 16,1,BRA,0:01
Starting goalkeeper,0,1.0,4,0,NZL,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,0,1.0,4,0,NZL,1.0,MILICICH J,0 - 0,480,NZL,8:00
Sprint won possession,0,5.0,4,0,NZL,1.0,EGGENS M,0 - 0,480,CAN,8:00
Centre shot - Saved,0,10.0,4,0,NZL,1.0,ROBINSON C,0 - 0,451,CAN,7:31
Turnover foul,0,8.0,4,0,NZL,1.0,LOPES da SILVA C,0 - 0,423,NZL,7:03
Steal,0,7.0,4,0,NZL,1.0,BEKHAZI J,0 - 0,423,CAN,7:03
Centre shot - Goal,1,4.0,4,0,NZL,1.0,WRIGHT E,1 - 0,398,CAN,6:38
Action shot - Saved,1,11.0,4,0,NZL,1.0,HUDSON K,1 - 0,368,NZL,6:08
20 sec. exclusion in centre,1,12.0,4,0,NZL,1.0,PYE B,1 - 0,348,NZL,5:48
Extra player shot - Goal,2,7.0,4,0,NZL,1.0,BEKHAZI J,2 - 0,336,CAN,5:36
5m shot - Blocked,2,3.0,4,0,NZL,1.0,MASON K,2 - 0,312,NZL,5:12
5m shot - Missed,2,4.0,4,0,NZL,1.0,WRIGHT E,2 - 0,284,CAN,4:44
5m shot - Post,2,12.0,4,0,NZL,1.0,PYE B,2 - 0,255,NZL,4:15
Centre shot - Goal,3,5.0,4,0,NZL,1.0,EGGENS M,3 - 0,240,CAN,4:00
Action shot - Blocked,3,7.0,4,0,NZL,1.0,HOUGHTON E,3 - 0,210,NZL,3:30
Counter attack - Goal,4,7.0,4,0,NZL,1.0,BEKHAZI J,4 - 0,198,CAN,3:18
Time-Out,4,,4,0,NZL,1.0,,4 - 0,198,NZL,3:18
Action shot - Blocked,4,7.0,4,0,NZL,1.0,HOUGHTON E,4 - 0,171,NZL,2:51
Turnover foul,4,2.0,4,0,NZL,1.0,ALOGBO K,4 - 0,136,CAN,2:16
Turnover foul,4,8.0,4,0,NZL,1.0,LOPES da SILVA C,4 - 0,132,NZL,2:12
Steal,4,7.0,4,0,NZL,1.0,BEKHAZI J,4 - 0,132,CAN,2:12
20 sec. exclusion in field,4,9.0,4,0,NZL,1.0,STONEMAN E,4 - 0,128,NZL,2:08
Time-Out,4,,4,0,NZL,1.0,,4 - 0,128,CAN,2:08
Extra player shot - Saved,4,4.0,4,0,NZL,1.0,WRIGHT E,4 - 0,113,CAN,1:53
5m shot - Post,4,9.0,4,0,NZL,1.0,STONEMAN E,4 - 0,86,NZL,1:26
5m shot - Post,4,5.0,4,0,NZL,1.0,EGGENS M,4 - 0,61,CAN,1:01
Action shot - Goal,4,8.0,4,1,NZL,1.0,LOPES da SILVA C,4 - 1,37,NZL,0:37
Centre shot - Goal,5,8.0,4,1,NZL,1.0,LEMAY-LAVOIE E,5 - 1,10,CAN,0:10
5m shot - Blocked,5,3.0,4,1,NZL,1.0,MASON K,5 - 1,1,NZL,0:01
Starting goalkeeper,5,1.0,4,1,NZL,2.0,GAUDREAULT J,5 - 1,480,CAN,8:00
