Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
4.0,0:30,Time-Out,14 - 5,CHN,,,14,5,30,3,CHN
4.0,0:17,20 sec. exclusion in field,14 - 5,ITA,COTTI A,11.0,14,5,17,3,CHN
4.0,0:04,Extra player shot - Goal,15 - 8,CHN,CHEN X,11.0,15,8,4,3,CHN
4.0,0:02,5m shot - Saved,15 - 8,ITA,BIANCONI R,8.0,15,8,2,3,CHN
1.0,8:00,Starting goalkeeper,0 - 0,ITA,GORLERO G,1.0,0,0,480,4,RUS
1.0,8:00,Starting goalkeeper,0 - 0,RUS,KARNAUKH A,13.0,0,0,480,4,RUS
1.0,8:00,Sprint won possession,0 - 0,RUS,SERZHANTOVA A,7.0,0,0,480,4,RUS
1.0,7:35,Action shot - Blocked,0 - 0,RUS,TOLKUNOVA T,10.0,0,0,455,4,RUS
1.0,7:15,Action shot - Post,0 - 0,ITA,GARIBOTTI A,3.0,0,0,435,4,RUS
1.0,6:51,Action shot - Saved,0 - 0,RUS,GORBUNOVA O,6.0,0,0,411,4,RUS
1.0,6:39,Action shot - Missed,0 - 0,RUS,RYZHKOVA D,12.0,0,0,399,4,RUS
1.0,6:12,5m shot - Saved,0 - 0,ITA,RADICCHI F,5.0,0,0,372,4,RUS
1.0,5:53,Action shot - Missed,0 - 0,ITA,GARIBOTTI A,3.0,0,0,353,4,RUS
1.0,5:28,Action shot - Saved,0 - 0,RUS,GORBUNOVA O,6.0,0,0,328,4,RUS
1.0,5:01,5m shot - Saved,0 - 0,ITA,EMMOLO G,9.0,0,0,301,4,RUS
1.0,4:38,Turnover foul,0 - 0,RUS,SIMANOVICH A,8.0,0,0,278,4,RUS
1.0,4:10,Action shot - Missed,0 - 0,ITA,RADICCHI F,5.0,0,0,250,4,RUS
1.0,3:55,Action shot - Saved,0 - 0,RUS,RYZHKOVA D,12.0,0,0,235,4,RUS
1.0,3:26,5m shot - Post,0 - 0,ITA,QUEIROLO E,4.0,0,0,206,4,RUS
1.0,2:56,Action shot - Post,0 - 0,RUS,SERZHANTOVA A,7.0,0,0,176,4,RUS
1.0,2:30,Action shot - Saved,0 - 0,ITA,BIANCONI R,8.0,0,0,150,4,RUS
1.0,2:13,Action shot - Goal,0 - 1,RUS,SERZHANTOVA A,7.0,0,1,133,4,RUS
1.0,1:46,Action shot - Saved,0 - 1,ITA,PALMIERI V,10.0,0,1,106,4,RUS
1.0,1:37,20 sec. exclusion in centre,0 - 1,RUS,BORISOVA M,5.0,0,1,97,4,RUS
1.0,1:19,Turnover foul,0 - 1,ITA,COTTI A,11.0,0,1,79,4,RUS
1.0,1:19,Steal,0 - 1,RUS,GORBUNOVA O,6.0,0,1,79,4,RUS
1.0,0:55,Action shot - Goal,0 - 2,RUS,IVANOVA E,11.0,0,2,55,4,RUS
1.0,0:32,5m shot - Saved,0 - 2,ITA,EMMOLO G,9.0,0,2,32,4,RUS
1.0,0:32,Time-Out,0 - 2,RUS,,,0,2,32,4,RUS
1.0,0:05,Action shot - Goal,0 - 3,RUS,RYZHKOVA D,12.0,0,3,5,4,RUS
1.0,0:01,5m shot - Saved,0 - 3,ITA,TABANI C,2.0,0,3,1,4,RUS
2.0,8:00,Starting goalkeeper,0 - 3,ITA,GORLERO G,1.0,0,3,480,4,RUS
2.0,8:00,Starting goalkeeper,0 - 3,RUS,KARNAUKH A,13.0,0,3,480,4,RUS
2.0,8:00,Sprint won possession,0 - 3,ITA,BIANCONI R,8.0,0,3,480,4,RUS
2.0,7:04,Action shot - Goal,0 - 4,RUS,GORBUNOVA O,6.0,0,4,424,4,RUS
2.0,6:42,20 sec. exclusion in centre,0 - 4,RUS,TOLKUNOVA T,10.0,0,4,402,4,RUS
2.0,6:25,Extra player shot - Goal,1 - 4,ITA,EMMOLO G,9.0,1,4,385,4,RUS
2.0,6:03,Turnover foul,1 - 4,RUS,RYZHKOVA D,12.0,1,4,363,4,RUS
2.0,6:03,Steal,1 - 4,ITA,GARIBOTTI A,3.0,1,4,363,4,RUS
2.0,5:36,5m shot - Blocked,1 - 4,ITA,BIANCONI R,8.0,1,4,336,4,RUS
2.0,5:14,Turnover foul,1 - 4,RUS,TIMOFEEVA A,9.0,1,4,314,4,RUS
2.0,5:14,Steal,1 - 4,ITA,BIANCONI R,8.0,1,4,314,4,RUS
2.0,4:49,5m shot - Missed,1 - 4,ITA,BIANCONI R,8.0,1,4,289,4,RUS
2.0,4:28,Action shot - Post,1 - 4,RUS,SERZHANTOVA A,7.0,1,4,268,4,RUS
2.0,4:06,5m shot - Post,1 - 4,ITA,GARIBOTTI A,3.0,1,4,246,4,RUS
2.0,3:52,Turnover foul,1 - 4,RUS,TIMOFEEVA A,9.0,1,4,232,4,RUS
2.0,3:52,Steal,1 - 4,ITA,QUEIROLO E,4.0,1,4,232,4,RUS
2.0,3:24,Turnover foul,1 - 4,ITA,RADICCHI F,5.0,1,4,204,4,RUS
2.0,3:09,20 sec. exclusion in centre,1 - 4,ITA,RADICCHI F,5.0,1,4,189,4,RUS
2.0,3:09,Time-Out,1 - 4,RUS,,,1,4,189,4,RUS
2.0,2:42,Action shot - Blocked,1 - 4,RUS,BORISOVA M,5.0,1,4,162,4,RUS
2.0,2:29,Action shot - Goal,2 - 4,ITA,BIANCONI R,8.0,2,4,149,4,RUS
2.0,2:00,Action shot - Saved,2 - 4,RUS,GORBUNOVA O,6.0,2,4,120,4,RUS
2.0,1:35,Action shot - Missed,2 - 4,ITA,DARIO S,12.0,2,4,95,4,RUS
2.0,1:20,Action shot - Post,2 - 4,RUS,PROKOFYEVA E,3.0,2,4,80,4,RUS
2.0,1:03,Action shot - Goal,3 - 4,ITA,QUEIROLO E,4.0,3,4,63,4,RUS
2.0,0:33,Action shot - Saved,3 - 4,RUS,IVANOVA E,11.0,3,4,33,4,RUS
2.0,0:23,Time-Out,3 - 4,ITA,,,3,4,23,4,RUS
2.0,0:07,Action shot - Goal,4 - 4,ITA,GARIBOTTI A,3.0,4,4,7,4,RUS
2.0,0:01,5m shot - Saved,4 - 4,RUS,PROKOFYEVA E,3.0,4,4,1,4,RUS
3.0,8:00,Starting goalkeeper,4 - 4,ITA,GORLERO G,1.0,4,4,480,4,RUS
3.0,8:00,Starting goalkeeper,4 - 4,RUS,KARNAUKH A,13.0,4,4,480,4,RUS
3.0,8:00,Sprint won possession,4 - 4,RUS,SERZHANTOVA A,7.0,4,4,480,4,RUS
3.0,7:33,5m shot - Blocked,4 - 4,RUS,GORBUNOVA O,6.0,4,4,453,4,RUS
3.0,7:19,Action shot - Saved,4 - 4,ITA,AIELLO R,6.0,4,4,439,4,RUS
3.0,6:52,Turnover foul,4 - 4,RUS,TOLKUNOVA T,10.0,4,4,412,4,RUS
3.0,6:52,Steal,4 - 4,ITA,GARIBOTTI A,3.0,4,4,412,4,RUS
3.0,6:33,Action shot - Blocked,4 - 4,ITA,BIANCONI R,8.0,4,4,393,4,RUS
3.0,6:12,Action shot - Post,4 - 4,RUS,RYZHKOVA D,12.0,4,4,372,4,RUS
3.0,5:48,Action shot - Goal,5 - 4,ITA,EMMOLO G,9.0,5,4,348,4,RUS
3.0,5:29,20 sec. exclusion in centre,5 - 4,ITA,RADICCHI F,5.0,5,4,329,4,RUS
3.0,5:12,Extra player shot - Goal,5 - 5,RUS,BORISOVA M,5.0,5,5,312,4,RUS
3.0,4:44,5m shot - Saved,5 - 5,ITA,GARIBOTTI A,3.0,5,5,284,4,RUS
3.0,4:20,Action shot - Post,5 - 5,RUS,GORBUNOVA O,6.0,5,5,260,4,RUS
3.0,3:58,Action shot - Saved,5 - 5,RUS,KARIMOVA E,4.0,5,5,238,4,RUS
3.0,3:32,5m shot - Goal,6 - 5,ITA,GARIBOTTI A,3.0,6,5,212,4,RUS
3.0,3:16,Turnover foul,6 - 5,RUS,SIMANOVICH A,8.0,6,5,196,4,RUS
3.0,3:08,20 sec. exclusion in centre,6 - 5,RUS,BORISOVA M,5.0,6,5,188,4,RUS
