Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,4.0,4,3,7,ITA,3.0,FIGLIOLI P,3 - 7,152,ITA,2:32,Post,0
Action shot,9.0,4,3,7,ITA,3.0,RENZUTO IODICE V,3 - 7,133,ITA,2:13,Saved,0
Action shot,9.0,4,3,8,ITA,3.0,RENZUTO IODICE V,3 - 8,75,ITA,1:15,Goal,1
5m shot,9.0,4,3,9,ITA,3.0,RENZUTO IODICE V,3 - 9,31,ITA,0:31,Goal,1
5m shot,7.0,4,3,9,ITA,3.0,NORA A,3 - 9,1,ITA,0:01,Blocked,0
Centre shot,10.0,4,4,9,ITA,4.0,RUDAY M,4 - 9,458,KAZ,7:38,Goal,1
Centre shot,11.0,4,4,9,ITA,4.0,AICARDI M,4 - 9,429,ITA,7:09,Saved,0
Counter attack,6.0,4,4,10,ITA,4.0,MIRARCHI C,4 - 10,390,ITA,6:30,Goal,1
Centre shot,10.0,4,5,10,ITA,4.0,RUDAY M,5 - 10,374,KAZ,6:14,Goal,1
5m shot,2.0,4,5,10,ITA,4.0,di FULVIO F,5 - 10,347,ITA,5:47,Saved,0
Centre shot,11.0,4,5,10,ITA,4.0,AICARDI M,5 - 10,330,ITA,5:30,Saved,0
Action shot,6.0,4,5,11,ITA,4.0,MIRARCHI C,5 - 11,299,ITA,4:59,Goal,1
Extra player shot,12.0,4,6,11,ITA,4.0,TURLYKHANOV B,6 - 11,252,KAZ,4:12,Goal,1
Extra player shot,10.0,4,6,12,ITA,4.0,BODEGAS M,6 - 12,223,ITA,3:43,Goal,1
Action shot,12.0,4,7,12,ITA,4.0,TURLYKHANOV B,7 - 12,128,KAZ,2:08,Goal,1
5m shot,6.0,4,7,12,ITA,4.0,MIRARCHI C,7 - 12,106,ITA,1:46,Saved,0
5m shot,3.0,4,7,12,ITA,4.0,GITTO N,7 - 12,48,ITA,0:48,Post,0
Action shot,10.0,4,7,12,ITA,4.0,RUDAY M,7 - 12,24,KAZ,0:24,Saved,0
Action shot,11.0,5,0,0,ESP,1.0,MALLARACH GUELL B,0 - 0,414,ESP,6:54,Blocked,0
Action shot,11.0,5,0,0,ESP,1.0,MALLARACH GUELL B,0 - 0,404,ESP,6:44,Saved,0
5m shot,7.0,5,0,1,ESP,1.0,BARROSO MACARRO A,0 - 1,316,ESP,5:16,Goal,1
Centre shot,12.0,5,0,2,ESP,1.0,GUTIERREZ SANTIAGO,0 - 2,267,ESP,4:27,Goal,1
5m shot,4.0,5,0,2,ESP,1.0,PILIPENKO R,0 - 2,238,KAZ,3:58,Saved,0
5m shot,2.0,5,0,2,ESP,1.0,MUNARRIZ EGANA A,0 - 2,224,ESP,3:44,Saved,0
5m shot,12.0,5,0,2,ESP,1.0,TURLYKHANOV B,0 - 2,158,KAZ,2:38,Post,0
5m shot,10.0,5,0,2,ESP,1.0,RUDAY M,0 - 2,122,KAZ,2:02,Blocked,0
Action shot,4.0,5,0,3,ESP,1.0,del TORO M,0 - 3,101,ESP,1:41,Goal,1
5m shot,7.0,5,0,3,ESP,1.0,SHAKENOV M,0 - 3,80,KAZ,1:20,Missed,0
Counter attack,10.0,5,0,4,ESP,1.0,FERNANDEZ MIRANDA,0 - 4,65,ESP,1:05,Goal,1
Action shot,10.0,5,0,4,ESP,1.0,RUDAY M,0 - 4,49,KAZ,0:49,Missed,0
Penalty shot,8.0,5,0,5,ESP,2.0,ESPANOL LIFANTE A,0 - 5,454,ESP,7:34,Goal,1
5m shot,8.0,5,0,5,ESP,2.0,ESPANOL LIFANTE A,0 - 5,409,ESP,6:49,Blocked,0
Action shot,11.0,5,0,6,ESP,2.0,MALLARACH GUELL B,0 - 6,388,ESP,6:28,Goal,1
Action shot,9.0,5,0,6,ESP,2.0,TAHULL COMPTE R,0 - 6,337,ESP,5:37,Missed,0
Action shot,7.0,5,0,6,ESP,2.0,BARROSO MACARRO A,0 - 6,272,ESP,4:32,Saved,0
5m shot,9.0,5,0,6,ESP,2.0,UKUMANOV R,0 - 6,246,KAZ,4:06,Missed,0
Action shot,9.0,5,0,7,ESP,2.0,TAHULL COMPTE R,0 - 7,228,ESP,3:48,Goal,1
5m shot,7.0,5,1,7,ESP,2.0,SHAKENOV M,1 - 7,211,KAZ,3:31,Goal,1
Action shot,2.0,5,1,7,ESP,2.0,MUNARRIZ EGANA A,1 - 7,172,ESP,2:52,Post,0
5m shot,7.0,5,1,7,ESP,2.0,SHAKENOV M,1 - 7,137,KAZ,2:17,Blocked,0
Action shot,10.0,5,1,7,ESP,2.0,RUDAY M,1 - 7,122,KAZ,2:02,Post,0
5m shot,2.0,5,1,8,ESP,2.0,MUNARRIZ EGANA A,1 - 8,104,ESP,1:44,Goal,1
5m shot,9.0,5,1,8,ESP,2.0,UKUMANOV R,1 - 8,81,KAZ,1:21,Blocked,0
Action shot,8.0,5,1,8,ESP,2.0,VERDESH Y,1 - 8,28,KAZ,0:28,Saved,0
Action shot,9.0,5,1,9,ESP,2.0,TAHULL COMPTE R,1 - 9,10,ESP,0:10,Goal,1
5m shot,4.0,5,1,10,ESP,3.0,del TORO M,1 - 10,455,ESP,7:35,Goal,1
Action shot,2.0,5,1,10,ESP,3.0,MEDVEDEV Y,1 - 10,410,KAZ,6:50,Saved,0
Action shot,11.0,5,2,10,ESP,3.0,MANAFOV R,2 - 10,371,KAZ,6:11,Goal,1
Action shot,7.0,5,2,10,ESP,3.0,BARROSO MACARRO A,2 - 10,341,ESP,5:41,Saved,0
Action shot,6.0,5,2,10,ESP,3.0,SHMIDER A,2 - 10,320,KAZ,5:20,Saved,0
5m shot,7.0,5,2,10,ESP,3.0,SHAKENOV M,2 - 10,291,KAZ,4:51,Saved,0
Action shot,6.0,5,2,10,ESP,3.0,MINGUELL ALFEREZ M,2 - 10,254,ESP,4:14,Saved,0
5m shot,8.0,5,2,10,ESP,3.0,ESPANOL LIFANTE A,2 - 10,230,ESP,3:50,Saved,0
5m shot,2.0,5,2,10,ESP,3.0,MEDVEDEV Y,2 - 10,190,KAZ,3:10,Post,0
Action shot,7.0,5,2,10,ESP,3.0,SHAKENOV M,2 - 10,171,KAZ,2:51,Saved,0
Extra player shot,7.0,5,2,11,ESP,3.0,BARROSO MACARRO A,2 - 11,133,ESP,2:13,Goal,1
5m shot,2.0,5,2,11,ESP,3.0,MEDVEDEV Y,2 - 11,104,KAZ,1:44,Saved,0
Penalty shot,3.0,5,2,11,ESP,3.0,GRANADOS ORTEGA A,2 - 11,80,ESP,1:20,Saved,0
Extra player shot,10.0,5,2,12,ESP,3.0,FERNANDEZ MIRANDA,2 - 12,52,ESP,0:52,Goal,1
5m shot,2.0,5,2,12,ESP,3.0,MEDVEDEV Y,2 - 12,23,KAZ,0:23,Saved,0
Penalty shot,7.0,5,3,12,ESP,4.0,SHAKENOV M,3 - 12,427,KAZ,7:07,Goal,1
Extra player shot,7.0,5,3,13,ESP,4.0,BARROSO MACARRO A,3 - 13,380,ESP,6:20,Goal,1
5m shot,9.0,5,3,13,ESP,4.0,UKUMANOV R,3 - 13,354,KAZ,5:54,Blocked,0
Action shot,7.0,5,4,13,ESP,4.0,SHAKENOV M,4 - 13,336,KAZ,5:36,Goal,1
5m shot,5.0,5,4,13,ESP,4.0,BUSTOS SANCHEZ A,4 - 13,307,ESP,5:07,Blocked,0
Extra player shot,7.0,5,4,14,ESP,4.0,BARROSO MACARRO A,4 - 14,284,ESP,4:44,Goal,1
