Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,3,1.0,3,6,CAN,3.0,RANDALL R,3 - 6,480,CAN,8:00
Sprint won possession,3,7.0,3,6,CAN,3.0,DELGADO A,3 - 6,480,BRA,8:00
Turnover foul,3,2.0,3,6,CAN,3.0,CRIVELLA J,3 - 6,454,BRA,7:34
Counter attack - Goal,3,12.0,3,7,CAN,3.0,MCELROY J,3 - 7,442,CAN,7:22
5m shot - Missed,3,5.0,3,7,CAN,3.0,SALEMI P,3 - 7,418,BRA,6:58
5m shot - Blocked,3,7.0,3,7,CAN,3.0,TASCHEREAU A,3 - 7,389,CAN,6:29
Turnover foul,3,5.0,3,7,CAN,3.0,SALEMI P,3 - 7,365,BRA,6:05
Steal,3,7.0,3,7,CAN,3.0,TASCHEREAU A,3 - 7,365,CAN,6:05
Turnover foul,3,11.0,3,7,CAN,3.0,TORAKIS G,3 - 7,340,CAN,5:40
Steal,3,10.0,3,7,CAN,3.0,PERRONE F,3 - 7,340,BRA,5:40
Action shot - Saved,3,6.0,3,7,CAN,3.0,GOMES B,3 - 7,315,BRA,5:15
Turnover foul,3,5.0,3,7,CAN,3.0,BOYD J,3 - 7,291,CAN,4:51
Steal,3,5.0,3,7,CAN,3.0,SALEMI P,3 - 7,291,BRA,4:51
Action shot - Blocked,3,7.0,3,7,CAN,3.0,DELGADO A,3 - 7,269,BRA,4:29
Turnover foul,3,12.0,3,7,CAN,3.0,VRLIC J,3 - 7,255,BRA,4:15
Time-Out,3,,3,7,CAN,3.0,,3 - 7,255,CAN,4:15
20 sec. exclusion in field,3,5.0,3,7,CAN,3.0,SALEMI P,3 - 7,245,BRA,4:05
Yellow card,3,,3,7,CAN,3.0,Team Official,3 - 7,245,BRA,4:05
Extra player shot - Saved,3,5.0,3,7,CAN,3.0,BOYD J,3 - 7,227,CAN,3:47
5m shot - Saved,3,5.0,3,7,CAN,3.0,SALEMI P,3 - 7,197,BRA,3:17
Turnover foul,3,12.0,3,7,CAN,3.0,MCELROY J,3 - 7,183,CAN,3:03
Steal,3,7.0,3,7,CAN,3.0,DELGADO A,3 - 7,183,BRA,3:03
Counter attack - Goal,4,10.0,3,7,CAN,3.0,PERRONE F,4 - 7,169,BRA,2:49
20 sec. exclusion in field,4,5.0,3,7,CAN,3.0,SALEMI P,4 - 7,159,BRA,2:39
Extra player shot - Goal,4,3.0,3,8,CAN,3.0,VIKALO O,4 - 8,141,CAN,2:21
Action shot - Blocked,4,7.0,3,8,CAN,3.0,DELGADO A,4 - 8,119,BRA,1:59
20 sec. exclusion in field,4,6.0,3,8,CAN,3.0,LAPINS D,4 - 8,110,CAN,1:50
Extra player shot - Goal,5,3.0,3,8,CAN,3.0,GOMES G,5 - 8,95,BRA,1:35
20 sec. exclusion in field,5,7.0,3,8,CAN,3.0,DELGADO A,5 - 8,84,BRA,1:24
