Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,11.0,1,0,2,ESP,1.0,ESTRANY P,2 - 0,152,ESP,2:32
Action shot - Goal,4.0,1,0,3,ESP,1.0,ALARCON R,3 - 0,126,ESP,2:06
Turnover foul,7.0,1,0,3,ESP,1.0,JACKSON D,3 - 0,103,NZL,1:43
Steal,6.0,1,0,3,ESP,1.0,MINGUELL M,3 - 0,103,ESP,1:43
20 sec. exclusion in centre,6.0,1,0,3,ESP,1.0,SIEPRATH A,3 - 0,82,NZL,1:22
Extra player shot - Post,9.0,1,0,3,ESP,1.0,VALLES X,3 - 0,78,ESP,1:18
Action shot - Missed,6.0,1,0,3,ESP,1.0,MINGUELL M,3 - 0,35,ESP,0:35
Action shot - Post,5.0,1,0,3,ESP,1.0,ROSS J,3 - 0,13,NZL,0:13
5m shot - Saved,12.0,1,0,3,ESP,1.0,GARCIA X,3 - 0,1,ESP,0:01
Starting goalkeeper,1.0,1,0,3,ESP,2.0,KINGSMILL T,3 - 0,480,NZL,8:00
Starting goalkeeper,1.0,1,0,3,ESP,2.0,AGUILAR I,3 - 0,480,ESP,8:00
Sprint won possession,8.0,1,0,3,ESP,2.0,ESPANOL A,3 - 0,480,ESP,8:00
Action shot - Saved,3.0,1,0,3,ESP,2.0,de LERA R,3 - 0,451,ESP,7:31
Centre shot - Saved,5.0,1,0,3,ESP,2.0,ROSS J,3 - 0,427,NZL,7:07
20 sec. exclusion in centre,4.0,1,0,3,ESP,2.0,LOWERY F,3 - 0,409,NZL,6:49
Extra player shot - Blocked,3.0,1,0,3,ESP,2.0,de LERA R,3 - 0,391,ESP,6:31
Action shot - Saved,5.0,1,0,3,ESP,2.0,ROSS J,3 - 0,363,NZL,6:03
Centre shot - Goal,8.0,1,0,4,ESP,2.0,ESPANOL A,4 - 0,342,ESP,5:42
Turnover foul,12.0,1,0,4,ESP,2.0,PYE A,4 - 0,316,NZL,5:16
Steal,4.0,1,0,4,ESP,2.0,ALARCON R,4 - 0,316,ESP,5:16
Turnover foul,5.0,1,0,4,ESP,2.0,MOLINA G,4 - 0,295,ESP,4:55
Steal,9.0,1,0,4,ESP,2.0,LUI-FAKAOTIMANAVA,4 - 0,295,NZL,4:55
Turnover foul,12.0,1,0,4,ESP,2.0,PYE A,4 - 0,270,NZL,4:30
Steal,4.0,1,0,4,ESP,2.0,ALARCON R,4 - 0,270,ESP,4:30
Action shot - Post,8.0,1,0,4,ESP,2.0,ESPANOL A,4 - 0,252,ESP,4:12
Action shot - Goal,10.0,1,0,5,ESP,2.0,PERRONE F,5 - 0,196,ESP,3:16
Penalty foul,2.0,1,0,5,ESP,2.0,MUNARRIZ A,5 - 0,176,ESP,2:56
Penalty shot - Goal,9.0,1,1,5,ESP,2.0,LUI-FAKAOTIMANAVA,5 - 1,176,NZL,2:56
Action shot - Missed,11.0,1,1,5,ESP,2.0,ESTRANY P,5 - 1,148,ESP,2:28
20 sec. exclusion in field,3.0,1,1,5,ESP,2.0,de LERA R,5 - 1,138,ESP,2:18
Time-Out,,1,1,5,ESP,2.0,,5 - 1,138,NZL,2:18
Action shot - Blocked,2.0,1,1,5,ESP,2.0,LEWIS M,5 - 1,117,NZL,1:57
20 sec. exclusion in centre,9.0,1,1,5,ESP,2.0,LUI-FAKAOTIMANAVA,5 - 1,97,NZL,1:37
Extra player shot - Goal,11.0,1,1,6,ESP,2.0,ESTRANY P,6 - 1,81,ESP,1:21
Turnover foul,11.0,1,1,6,ESP,2.0,TIJSEN L,6 - 1,69,NZL,1:09
Steal,11.0,1,1,6,ESP,2.0,ESTRANY P,6 - 1,69,ESP,1:09
Turnover foul,11.0,1,1,6,ESP,2.0,ESTRANY P,6 - 1,55,ESP,0:55
Steal,1.0,1,1,6,ESP,2.0,KINGSMILL T,6 - 1,55,NZL,0:55
Centre shot - Saved,5.0,1,1,6,ESP,2.0,ROSS J,6 - 1,39,NZL,0:39
Turnover foul,9.0,1,1,6,ESP,2.0,VALLES X,6 - 1,29,ESP,0:29
Action shot - Post,8.0,1,1,6,ESP,4.0,ESPANOL A,6 - 1,136,ESP,2:16
20 sec. exclusion in centre,9.0,1,1,6,ESP,4.0,LUI-FAKAOTIMANAVA,6 - 1,131,NZL,2:11
Exclusion with substitution,9.0,1,1,6,ESP,4.0,LUI-FAKAOTIMANAVA,6 - 1,131,NZL,2:11
Extra player shot - Goal,10.0,1,3,18,ESP,4.0,PERRONE F,18 - 3,125,ESP,2:05
Time-Out,,1,3,18,ESP,4.0,,18 - 3,125,NZL,2:05
5m shot - Saved,8.0,1,3,18,ESP,4.0,SMALL M,18 - 3,98,NZL,1:38
Centre shot - Blocked,7.0,1,3,18,ESP,4.0,SZIRANYI B,18 - 3,74,ESP,1:14
5m shot - Blocked,4.0,1,3,18,ESP,2.0,LOWERY F,18 - 3,4,NZL,0:04
5m shot - Missed,11.0,1,3,18,ESP,2.0,ESTRANY P,18 - 3,1,ESP,0:01
Starting goalkeeper,13.0,1,3,18,ESP,3.0,LOPEZ D,18 - 3,480,ESP,8:00
Starting goalkeeper,1.0,1,3,18,ESP,3.0,KINGSMILL T,18 - 3,480,NZL,8:00
Sprint won possession,3.0,1,3,18,ESP,3.0,de LERA R,18 - 3,480,ESP,8:00
Turnover foul,10.0,1,3,18,ESP,3.0,PERRONE F,18 - 3,461,ESP,7:41
Steal,1.0,1,3,18,ESP,3.0,KINGSMILL T,18 - 3,461,NZL,7:41
Turnover foul,12.0,1,3,18,ESP,3.0,PYE A,18 - 3,440,NZL,7:20
Steal,4.0,1,3,18,ESP,3.0,ALARCON R,18 - 3,440,ESP,7:20
Counter attack - Goal,10.0,1,1,7,ESP,3.0,PERRONE F,7 - 1,432,ESP,7:12
5m shot - Saved,7.0,1,1,7,ESP,3.0,JACKSON D,7 - 1,415,NZL,6:55
