Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Centre shot,8.0,4,2,BRA,3.0,NEUSHUL K,10 - 2,182,USA,3:02,10,Saved,0
5m shot,12.0,4,3,BRA,3.0,BAHIA V,10 - 3,154,BRA,2:34,10,Goal,1
Action shot,8.0,4,3,BRA,3.0,NEUSHUL K,11 - 3,130,USA,2:10,11,Goal,1
Action shot,3.0,4,3,BRA,3.0,SEIDEMANN M,11 - 3,81,USA,1:21,11,Missed,0
Action shot,4.0,4,3,BRA,3.0,FATTAL R,12 - 3,22,USA,0:22,12,Goal,1
Action shot,3.0,4,3,BRA,4.0,SEIDEMANN M,12 - 3,451,USA,7:31,12,Saved,0
Centre shot,6.0,4,3,BRA,4.0,STEFFENS M,13 - 3,430,USA,7:10,13,Goal,1
5m shot,2.0,4,3,BRA,4.0,SILVER L,14 - 3,375,USA,6:15,14,Goal,1
5m shot,8.0,4,3,BRA,4.0,CHIAPPINI I,14 - 3,270,BRA,4:30,14,Post,0
Action shot,10.0,4,3,BRA,4.0,VIGNA F,14 - 3,145,BRA,2:25,14,Missed,0
Counter attack,5.0,4,3,BRA,4.0,CLARK C,14 - 3,132,USA,2:12,14,Saved,0
Action shot,4.0,4,3,BRA,4.0,FATTAL R,14 - 3,73,USA,1:13,14,Missed,0
Action shot,11.0,4,3,BRA,4.0,COUTINHO M,14 - 3,27,BRA,0:27,14,Blocked,0
Centre shot,11.0,4,3,BRA,4.0,DRIES A,14 - 3,3,USA,0:03,14,Post,0
Action shot,6.0,5,1,ESP,1.0,PAREJA J,1 - 0,454,ESP,7:34,0,Goal,1
5m shot,5.0,5,1,ESP,1.0,ORTIZ M,1 - 0,361,ESP,6:01,0,Missed,0
Centre shot,12.0,5,1,ESP,1.0,CRAIG K,1 - 1,346,USA,5:46,1,Goal,1
Centre shot,11.0,5,1,ESP,1.0,GARCIA GODOY M,1 - 1,324,ESP,5:24,1,Missed,0
Action shot,12.0,5,2,ESP,1.0,LOPEZ L,2 - 1,250,ESP,4:10,1,Goal,1
5m shot,6.0,5,3,ESP,1.0,PAREJA J,3 - 1,204,ESP,3:24,1,Goal,1
5m shot,4.0,5,3,ESP,1.0,FATTAL R,3 - 2,185,USA,3:05,2,Goal,1
Action shot,8.0,5,3,ESP,1.0,NEUSHUL K,3 - 2,138,USA,2:18,2,Saved,0
Penalty shot,6.0,5,4,ESP,1.0,PAREJA J,4 - 2,127,ESP,2:07,2,Goal,1
Action shot,4.0,5,4,ESP,1.0,FATTAL R,4 - 2,47,USA,0:47,2,Post,0
Action shot,7.0,5,4,ESP,1.0,MIRANDA L,4 - 2,18,ESP,0:18,2,Post,0
Action shot,8.0,5,4,ESP,1.0,NEUSHUL K,4 - 2,2,USA,0:02,2,Saved,0
Action shot,6.0,5,5,ESP,2.0,PAREJA J,5 - 2,409,ESP,6:49,2,Goal,1
Centre shot,12.0,5,5,ESP,2.0,CRAIG K,5 - 3,388,USA,6:28,3,Goal,1
Centre shot,9.0,5,5,ESP,2.0,BLAS A,5 - 3,376,ESP,6:16,3,Saved,0
5m shot,12.0,5,5,ESP,2.0,LOPEZ L,5 - 3,329,ESP,5:29,3,Blocked,0
Penalty shot,6.0,5,5,ESP,2.0,STEFFENS M,5 - 4,321,USA,5:21,4,Goal,1
5m shot,7.0,5,5,ESP,2.0,MATHEWSON C,5 - 4,245,USA,4:05,4,Missed,0
Action shot,2.0,5,5,ESP,2.0,SILVER L,5 - 4,200,USA,3:20,4,Blocked,0
5m shot,6.0,5,5,ESP,2.0,PAREJA J,5 - 4,171,ESP,2:51,4,Saved,0
Extra player shot,10.0,5,5,ESP,2.0,RULON K,5 - 4,145,USA,2:25,4,Saved,0
Action shot,6.0,5,5,ESP,2.0,PAREJA J,5 - 4,118,ESP,1:58,4,Saved,0
5m shot,7.0,5,5,ESP,2.0,MIRANDA L,5 - 4,91,ESP,1:31,4,Missed,0
5m shot,3.0,5,5,ESP,2.0,SEIDEMANN M,5 - 4,75,USA,1:15,4,Missed,0
Action shot,12.0,5,5,ESP,2.0,LOPEZ L,5 - 4,48,ESP,0:48,4,Saved,0
Action shot,8.0,5,5,ESP,2.0,PENA P,5 - 4,22,ESP,0:22,4,Saved,0
Action shot,6.0,5,5,ESP,3.0,STEFFENS M,5 - 4,409,USA,6:49,4,Saved,0
Extra player shot,11.0,5,6,ESP,3.0,GARCIA GODOY M,6 - 4,332,ESP,5:32,4,Goal,1
Action shot,7.0,5,6,ESP,3.0,MATHEWSON C,6 - 4,218,USA,3:38,4,Blocked,0
