Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Extra player shot - Saved,4.0,7,3,GRE,1.0,FATTAL R,3 - 3,140,USA,2:20,3
Turnover foul,7.0,7,3,GRE,1.0,ASIMAKI A,3 - 3,118,GRE,1:58,3
Steal,4.0,7,3,GRE,1.0,FATTAL R,3 - 3,118,USA,1:58,3
Centre shot - Goal,11.0,7,3,GRE,1.0,DRIES A,3 - 4,102,USA,1:42,4
Action shot - Saved,11.0,7,3,GRE,1.0,PLEVRITOU E,3 - 4,78,GRE,1:18,4
5m shot - Goal,4.0,7,4,GRE,1.0,PSOUNI I,4 - 4,25,GRE,0:25,4
Action shot - Saved,6.0,7,4,GRE,1.0,STEFFENS M,4 - 4,1,USA,0:01,4
Starting goalkeeper,1.0,7,4,GRE,2.0,ARMSTRONG E,4 - 4,480,USA,8:00,4
Starting goalkeeper,1.0,7,4,GRE,2.0,KOUVDOU E,4 - 4,480,GRE,8:00,4
Sprint won possession,10.0,7,4,GRE,2.0,RULON K,4 - 4,480,USA,8:00,4
20 sec. exclusion in centre,4.0,7,4,GRE,2.0,PSOUNI I,4 - 4,453,GRE,7:33,4
Action shot - Goal,10.0,7,4,GRE,2.0,RULON K,4 - 5,427,USA,7:07,5
Goalkeeper substitution,13.0,7,4,GRE,2.0,DIAMANTOPOULOU C,4 - 5,427,GRE,7:07,5
Turnover foul,7.0,7,4,GRE,2.0,ASIMAKI A,4 - 5,415,GRE,6:55,5
Steal,5.0,7,4,GRE,2.0,CLARK C,4 - 5,415,USA,6:55,5
Turnover foul,2.0,7,4,GRE,2.0,SILVER L,4 - 5,390,USA,6:30,5
Steal,2.0,7,4,GRE,2.0,TSOUKALA C,4 - 5,390,GRE,6:30,5
Action shot - Saved,8.0,7,4,GRE,2.0,ROUMPESI A,4 - 5,364,GRE,6:04,5
Action shot - Post,2.0,7,4,GRE,2.0,SILVER L,4 - 5,350,USA,5:50,5
20 sec. exclusion in centre,3.0,7,4,GRE,2.0,DIAMANTOPOULOU V,4 - 5,338,GRE,5:38,5
Extra player shot - Blocked,2.0,7,4,GRE,2.0,SILVER L,4 - 5,318,USA,5:18,5
Turnover foul,12.0,7,4,GRE,2.0,CRAIG K,4 - 5,298,USA,4:58,5
Action shot - Goal,9.0,7,5,GRE,2.0,KOTSIA C,5 - 5,274,GRE,4:34,5
Turnover foul,11.0,7,5,GRE,2.0,DRIES A,5 - 5,252,USA,4:12,5
Steal,6.0,7,5,GRE,2.0,AVRAMIDOU A,5 - 5,252,GRE,4:12,5
Turnover foul,7.0,7,5,GRE,2.0,ASIMAKI A,5 - 5,233,GRE,3:53,5
20 sec. exclusion in centre,9.0,7,5,GRE,2.0,KOTSIA C,5 - 5,211,GRE,3:31,5
Extra player shot - Blocked,11.0,7,5,GRE,2.0,DRIES A,5 - 5,200,USA,3:20,5
Turnover foul,6.0,7,5,GRE,2.0,AVRAMIDOU A,5 - 5,186,GRE,3:06,5
Action shot - Goal,3.0,7,5,GRE,2.0,SEIDEMANN M,5 - 6,166,USA,2:46,6
20 sec. exclusion in field,8.0,7,5,GRE,2.0,NEUSHUL K,5 - 6,156,USA,2:36,6
Action shot - Saved,8.0,7,5,GRE,2.0,ROUMPESI A,5 - 6,130,GRE,2:10,6
Turnover foul,8.0,7,5,GRE,2.0,NEUSHUL K,5 - 6,114,USA,1:54,6
