Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
3.0,6:16,Steal,7 - 3,ROU,STOENESCU D,1.0,7,3,376,3,GER
3.0,5:47,5m shot - Saved,7 - 3,ROU,GEORGESCU R,10.0,7,3,347,3,GER
3.0,5:22,Turnover foul,7 - 3,GER,NOSSEK H,7.0,7,3,322,3,GER
3.0,4:54,Centre shot - Saved,7 - 3,ROU,IANC P,2.0,7,3,294,3,GER
3.0,4:52,Centre shot - Goal,7 - 4,ROU,IANC P,2.0,7,4,292,3,GER
3.0,4:26,5m shot - Post,7 - 4,GER,JUENGLING M,6.0,7,4,266,3,GER
3.0,4:09,20 sec. exclusion in centre,7 - 4,GER,JUENGLING M,6.0,7,4,249,3,GER
3.0,4:09,Exclusion with substitution,7 - 4,GER,JUENGLING M,6.0,7,4,249,3,GER
3.0,4:09,Time-Out,7 - 4,ROU,,,7,4,249,3,GER
3.0,3:46,Action shot - Goal,7 - 5,ROU,BUSILA A,6.0,7,5,226,3,GER
3.0,3:18,Action shot - Saved,7 - 5,GER,STAMM M,9.0,7,5,198,3,GER
3.0,3:09,20 sec. exclusion in centre,7 - 5,ROU,GHIBAN A,11.0,7,5,189,3,GER
3.0,2:48,Action shot - Goal,8 - 5,GER,SCHUELER P,8.0,8,5,168,3,GER
3.0,2:17,Turnover foul,8 - 5,ROU,IANC P,2.0,8,5,137,3,GER
3.0,2:17,Steal,8 - 5,GER,SCHUELER P,8.0,8,5,137,3,GER
3.0,2:01,20 sec. exclusion in centre,8 - 5,ROU,GOANTA D,9.0,8,5,121,3,GER
3.0,1:41,Extra player shot - Saved,8 - 5,GER,OELER M,10.0,8,5,101,3,GER
3.0,1:16,Turnover foul,8 - 5,ROU,MATEI A,7.0,8,5,76,3,GER
3.0,1:16,Steal,8 - 5,GER,OELER M,10.0,8,5,76,3,GER
3.0,0:30,20 sec. exclusion in centre,8 - 5,GER,OELER M,10.0,8,5,30,3,GER
3.0,0:10,Turnover foul,8 - 5,ROU,DIACONU N,4.0,8,5,10,3,GER
3.0,0:10,Steal,8 - 5,GER,BUKOWSKI E,2.0,8,5,10,3,GER
