Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,3.0,4,12,8,KAZ,4.0,PASKOVIC V,8 - 12,18,MNE,0:18,Goal,1
5m shot,9.0,4,12,8,KAZ,4.0,UKUMANOV R,8 - 12,2,KAZ,0:02,Post,0
Action shot,3.0,5,0,0,CRO,1.0,PASKOVIC V,0 - 0,452,MNE,7:32,Blocked,0
Action shot,8.0,5,0,0,CRO,1.0,BUSLJE A,0 - 0,376,CRO,6:16,Blocked,0
Extra player shot,7.0,5,0,0,CRO,1.0,JANOVIC M,0 - 0,344,MNE,5:44,Post,0
Action shot,7.0,5,0,0,CRO,1.0,JANOVIC M,0 - 0,333,MNE,5:33,Saved,0
Action shot,3.0,5,0,1,CRO,1.0,PETKOVIC A,1 - 0,296,CRO,4:56,Goal,1
Action shot,9.0,5,0,1,CRO,1.0,IVOVIC A,1 - 0,272,MNE,4:32,Saved,0
5m shot,7.0,5,0,1,CRO,1.0,JANOVIC M,1 - 0,224,MNE,3:44,Saved,0
Extra player shot,11.0,5,0,1,CRO,1.0,KLIKOVAC F,1 - 0,188,MNE,3:08,Saved,0
Extra player shot,9.0,5,0,1,CRO,1.0,IVOVIC A,1 - 0,185,MNE,3:05,Saved,0
5m shot,7.0,5,0,1,CRO,1.0,MUSLIM P,1 - 0,160,CRO,2:40,Saved,0
5m shot,6.0,5,0,1,CRO,1.0,RADOVIC A,1 - 0,114,MNE,1:54,Missed,0
5m shot,9.0,5,0,1,CRO,1.0,SUKNO S,1 - 0,80,CRO,1:20,Saved,0
5m shot,9.0,5,0,1,CRO,1.0,SUKNO S,1 - 0,60,CRO,1:00,Saved,0
5m shot,9.0,5,0,1,CRO,1.0,SUKNO S,1 - 0,39,CRO,0:39,Blocked,0
Action shot,11.0,5,0,1,CRO,2.0,KLIKOVAC F,1 - 0,455,MNE,7:35,Saved,0
Extra player shot,7.0,5,0,2,CRO,2.0,MUSLIM P,2 - 0,412,CRO,6:52,Goal,1
5m shot,9.0,5,0,2,CRO,2.0,IVOVIC A,2 - 0,382,MNE,6:22,Saved,0
